time_on_page_sec,num_product_reviews,product_rating,purchase
28.53397005,48,1.916529977,yes
27.78780205,38,1.20451589,no
33.92423053,37,0.850869252,yes
23.23449673,54,2.391497005,yes
29.39447114,35,1.294425667,no
32.3661014,65,2.549037757,yes
34.80896953,23,1.43703701,no
28.70071444,37,1.407648029,yes
30.71452586,57,0.332054052,no
25.24183776,45,1.829979446,yes
28.2199635,56,2.129692615,yes
33.35704922,42,0.862045948,no
31.94823624,55,2.159884613,yes
25.07691999,54,2.140881318,yes
26.97238342,36,1.272114438,no
26.99061343,59,2.562269316,yes
32.06204474,21,1.5773057,no
23.74373356,70,2.979735419,yes
26.86769012,43,1.819014141,yes
31.87126894,38,1.336603863,yes
30.7617357,26,1.426726796,no
33.75542723,44,0.614319899,no
39.03662195,23,0.393016979,yes
29.69639007,65,0.132394866,no
25.71163514,39,1.270277341,no
29.92620856,53,0.555252568,no
27.13241871,36,1.248057363,no
40.45277788,43,1.312885054,yes
29.44095839,31,1.387546849,no
18.84339728,53,2.468832737,yes
26.26210373,56,2.303728027,yes
25.53353181,61,2.603145169,yes
39.50373803,37,1.149780319,yes
30.40533066,25,1.504147745,no
22.73224841,49,1.118544293,no
27.09715394,27,1.655117246,no
32.29194359,18,1.592314863,no
28.01373841,56,2.354853766,yes
28.23018942,49,0.734550506,no
34.83050745,45,1.625578458,yes
26.36481104,41,1.073967942,no
24.55404517,53,2.245862622,yes
32.48276151,63,2.494035485,yes
28.18727965,64,2.614380462,yes
24.31840485,42,1.178503966,no
16.10965287,36,1.877191925,no
17.48318272,46,1.5603459,no
23.16301216,38,1.515767249,no
37.08140007,52,1.871658408,yes
34.80477319,41,1.406372494,yes
24.89806026,29,1.710109594,no
31.55981157,49,1.957517617,yes
21.51996525,44,1.974067653,yes
32.79661071,46,1.709013471,yes
24.62412169,41,1.2022306,no
29.57212736,53,2.10312778,yes
34.15363182,38,1.277781878,yes
23.07903157,57,0.763370077,no
26.44116911,46,1.930835936,yes
28.85183488,33,1.162391321,yes
33.70850712,45,0.48314925,no
28.89210487,38,1.115015263,no
31.82472782,44,1.507593906,yes
31.8926717,49,1.901752228,yes
38.16522135,30,0.878964389,no
50.02734429,31,0.445849285,yes
29.5458048,45,0.787323584,no
31.52153859,50,1.777436883,yes
29.78641681,40,0.984312825,no
28.39228942,35,1.218951532,no
35.71461354,49,0.34796542,no
26.425012,61,2.540694467,yes
30.26230706,49,1.817258078,yes
18.62831295,34,1.838684536,no
14.91100998,61,2.912718839,yes
25.10254546,39,1.331148925,no
27.42261775,36,1.317762943,no
26.48822658,33,1.493419902,no
29.97624682,52,1.872197195,yes
27.82280842,34,1.284766733,no
25.45648119,54,2.259675988,yes
31.28919671,50,1.951798865,yes
32.47925059,68,2.627408709,yes
30.11634652,14,1.995638808,no
30.94064415,52,2.149572815,yes
29.45950586,53,2.075940253,yes
34.17957302,47,1.597746003,yes
27.47430462,47,1.924246881,yes
39.87338956,39,1.223382459,yes
20.99456413,46,1.303583769,no
30.64394444,46,0.758642615,no
37.94108024,43,1.355506198,yes
27.07869936,28,1.5889646,no
18.27030335,69,3.19136574,yes
33.10024828,33,1.051510329,yes
28.52139617,52,2.070913691,yes
14.80444558,55,2.681237067,yes
30.57836606,43,0.793202285,no
34.84987752,21,1.348562477,no
23.27585771,31,1.776408225,no
35.84828175,51,1.927336177,yes
31.02562109,43,1.597976582,yes
26.28846428,21,1.88069925,no
36.53921454,38,0.624469977,no
25.14644345,56,2.341809607,yes
30.37052905,60,2.38432613,yes
24.28809036,47,1.961170319,yes
26.30308316,42,1.184320996,no
21.86861134,67,2.883914957,yes
36.16064782,40,0.6091103,no
37.81687942,39,0.626257539,no
30.00323667,64,2.444804152,yes
30.75112742,44,1.694743842,yes
23.39448785,56,2.460224778,yes
33.44301365,44,0.649321421,no
28.91958799,69,2.810488664,yes
38.81876905,32,0.762667406,no
31.32103503,43,0.884866797,no
30.54720477,44,1.713111256,yes
33.3584392,52,1.853977662,yes
